observacao_id,observacao_data,coord_y,coord_x
Perfil-01,27/11/2000,"-30,9244444444","-51,8302777778"
Perfil-02,27/11/2000,"-31,5780555556","-52,2711111111"
Perfil-03,28/11/2000,"-31,5713888889","-52,5386111111"
Perfil-04,28/11/2000,"-31,5772222222","-53,3616666667"
Perfil-05,29/11/2000,"-31,7566666667","-54,1547222222"
Perfil-06,29/11/2000,"-31,4841666667","-54,1361111111"
Perfil-07,28/11/2000,"-31,2961111111","-54,0536111111"
Perfil-08,29/11/2000,"-31,4588888889","-54,1397222222"
Perfil-09,30/11/2000,"-30,9236111111","-53,6313888889"
Perfil-10,30/11/2000,"-30,0205555556","-53,6827777778"
Perfil-11,30/11/2000,"-29,7422222222","-53,7913888889"
Perfil-12,01/12/2000,"-28,9788888889","-53,6438888889"
Perfil-13,01/12/2000,"-28,6388888889","-53,0863888889"
Perfil-14,02/12/2000,"-28,3755555556","-51,0808333333"
Perfil-15,02/12/2000,"-28,5102777778","-50,8791666667"
Perfil-16,02/12/2000,"-28,1769444444","-50,6994444444"
Perfil-17,03/12/2000,"-27,8247222222","-50,3797222222"
Perfil-18,04/12/2000,"-26,9152777778","-50,4536111111"
Perfil-19,04/12/2000,"-26,1719444444","-50,0794444444"
Perfil-20,03/12/2000,"-27,5241666667","-50,1363888889"
